iter	RMSE
0	543.0589651
1	540.8474789
2	538.8082476
3	537.1620949
4	535.2764812
5	533.851915
6	532.4246984
7	530.5394656
8	529.5606456
9	528.293909
10	526.8341925
11	525.0249516
12	524.0607428
13	523.3237569
14	522.0430768
15	521.433553
16	520.978553
17	520.4213868
18	520.0672235
19	519.1773887
20	518.6990333
21	518.442844
22	518.3338785
23	517.9434301
24	517.8826392
25	517.6376475
26	517.3086476
27	517.275611
28	514.2548558
29	513.6736926
30	513.5134615
31	513.452153
32	513.3951901
33	513.2670185
34	513.2327353
35	512.9121491
36	512.2715917
37	512.0115842
38	511.9629717
39	511.7742825
40	511.5974954
41	511.4937291
42	509.2581158
43	508.8440484
44	508.8021474
45	508.6382477
46	507.880589
47	507.4301513
48	507.0824372
49	507.0309884
50	506.9939557
51	506.961898
52	506.877178
53	506.8477091
54	506.8160744
55	506.6071251
56	506.3041697
57	505.8613886
58	505.649293
59	505.6219367
60	505.6067469
61	505.0568636
62	504.9335398
63	504.1257788
64	504.0496604
65	504.0257385
66	503.9015143
67	503.5563891
68	503.3379075
69	503.3132267
70	503.240636
71	503.2206706
72	503.2077459
73	503.1574437
74	503.1096311
75	502.9955414
76	502.9572965
77	502.851623
78	502.8095637
79	502.7916396
80	502.6649575
81	502.5445605
82	502.4625721
83	502.3316007
84	502.3162428
85	502.3031322
86	502.2757381
87	502.0379216
88	502.0247181
89	498.7434694
90	498.7290696
91	498.3628213
92	497.9750865
93	497.678075
94	497.584343
95	497.3487279
96	497.3130279
97	496.8150106
98	496.7178674
99	494.0635746
100	494.0507324
101	493.819948
102	493.6700946
103	493.6347343
104	493.461821
105	493.3524442
106	493.1554158
107	493.1357857
108	493.1200842
109	492.9548688
110	491.9948614
111	491.7521267
112	491.4254214
113	491.4212024
114	491.2375257
115	490.9322555
116	490.9001475
117	490.7245057
118	490.2889037
119	490.1738381
120	489.5466889
121	489.3559565
122	489.2695954
123	489.1495516
124	489.022266
125	488.8107101
126	488.3874802
127	488.3504673
128	488.3001291
129	487.9792476
130	487.9479857
131	487.9371919
132	487.8733213
133	487.8542549
134	487.7148206
135	487.3400343
136	487.2290118
137	487.2219956
138	486.9716049
139	486.9426807
140	486.9077176
141	486.7480503
142	486.6884674
143	486.6837959
144	486.5724736
145	486.432053
146	486.3531374
147	486.2023059
148	485.8606691
149	485.8211061
150	485.6912892
151	485.3708675
152	485.1717478
153	485.0876201
154	484.7888508
155	484.7401749
156	484.640702
157	484.6109828
158	484.5248526
159	484.5195425
160	484.5144738
161	484.3872834
162	484.3155779
163	484.288332
164	484.2009001
165	484.1262729
166	484.0934899
167	484.089296
168	484.0778972
169	484.0740204
170	483.983865
171	483.9624637
172	483.6816363
173	483.6780799
174	483.5734653
175	483.5701158
176	483.4712783
177	483.4164579
178	483.2824006
179	483.2497332
180	483.2287639
181	483.2106169
182	482.955844
183	482.9396306
184	482.9370799
185	482.8351691
186	482.8210154
187	482.7913076
188	482.7564927
189	482.658986
190	482.5300312
191	482.4099101
192	482.2980621
193	482.0682047
194	481.9702573
195	481.7547115
196	481.5545605
197	481.4017174
198	481.3128271
199	481.0364179
200	480.9678679
201	480.9657984
202	480.939758
203	480.9110606
204	480.8065744
205	480.8046928
206	480.5434017
207	480.3146251
208	480.1251414
209	480.0521377
210	479.9876493
211	479.9868101
212	479.9562883
213	479.9398516
214	479.8963865
215	479.8299706
216	479.8292258
217	479.6867023
218	479.6075466
219	479.2908275
220	479.199874
221	479.1982533
222	479.1428402
223	479.1295529
224	478.9484445
225	478.8968897
226	478.8954055
227	478.7293274
228	478.6450939
229	478.6263156
230	478.6249108
231	478.5580696
232	478.5030344
233	478.5017361
234	478.4567007
235	478.2833778
236	478.1858709
237	478.1413685
238	477.9914171
239	477.9150025
240	477.64153
241	477.5999145
242	477.5987147
243	477.5524626
244	477.4878391
245	477.4410304
246	477.3822371
247	477.3810471
248	477.219404
249	477.2040246
250	477.251	455.251	477.252	455.252	477.0734973
253	476.9272204
254	476.7852927
255	476256	455.4256	476257	455.3257	476.5838626
258	475.0062367
259	475260	455260	474.9261	455261	474.8537447
262	474.648044
263	474.6002557
264	474.5137767
265	474.387291
266	474.3567645
267	474.3194672
268	474.2269	454269	474.0985564
270	474.0689147
271	473.8853115
272	473.8580973
273	473.7484757
274	473.7336154
275	473.7110403
276	473277	454.0277	473278	454.0278	4279	454.007279	4280	453.975280	4281	453.904281	4282	453.878282	4283	453.845283	4284	453.843284	4285	453.828285	4286	453.79286	47287	453.76287	47288	453.73288	47289	453.68289	47290	453.61290	47291	453.60291	47292	453.58292	47293	453.54293	47294	453.5294	472295	453.4295	472296	453.2296	472297	453.2297	472298	453.2298	472299	452.9299	47300	452.95300	47301	452.92301	47302	452.90302	47303	452.84303	47304	452.75304	47305	452.73305	47306	452.7140117
307	452.633581
308	452.6205265
309	452.5599297
310	452.5468389
311	452.5111549
312	452.4759386
313	452.4583866
314	452.4353048
315	452.4124682
316	452.3868949
317	452.3616992
318	452.3465495
319	452.3159046
320	452.3056247
321	452.2610245
322	452.2531945
323	452.2089034
324	452.1349241
325	452.1011766
326	452.0765829
327	452.0204768
328	451.9977277
329	451.9972691
330	451.987208
331	451.9534868
332	451.9320005
333	451.8653375
334	451.8549148
335	451.544768
336	451.5253706
337	451.4787827
338	451.4571114
339	451.4028289
340	451.3999093
341	451.3802288
342	451.3061506
343	451.1268902
344	451.0899444
345	451.0729014
346	451.0197835
347	450.8709211
348	450.8470652
349	450.8292788
