iter	Passed	Remaining
0	51	51367
1	104	52373
2	150	50040
3	208	51938
4	247	49176
5	297	49213
6	347	49325
7	393	48783
8	450	49626
9	496	49164
10	559	50316
11	608	50081
12	641	48716
13	674	47485
14	726	47731
15	757	46602
16	792	45843
17	840	45836
18	869	44918
19	903	44258
20	936	43638
21	996	44293
22	1056	44860
23	1108	45088
24	1147	44753
25	1195	44776
26	1236	44566
27	1270	44116
28	1301	43589
29	1333	43109
30	1376	43016
31	1399	42329
32	1424	41735
33	1451	41246
34	1472	40605
35	1505	40317
36	1547	40263
37	1587	40198
38	1614	39787
39	1666	40007
40	1691	39573
41	1718	39198
42	1758	39136
43	1789	38885
44	1813	38492
45	1847	38320
46	1872	37964
47	1897	37629
48	1926	37387
49	1949	37033
50	1974	36742
51	1995	36382
52	2024	36176
53	2043	35803
54	2065	35486
55	2092	35279
56	2112	34955
57	2141	34787
58	2167	34571
59	2196	34415
60	2218	34146
61	2246	33984
62	2271	33788
63	2305	33716
64	2328	33497
65	2351	33271
66	2377	33108
67	2407	32998
68	2437	32888
69	2463	32725
70	2490	32582
71	2512	32379
72	2535	32199
73	2563	32084
74	2669	32924
75	2694	32754
76	2717	32573
77	2741	32409
78	2761	32199
79	2789	32079
80	2815	31944
81	2845	31855
82	2864	31650
83	2885	31461
84	2900	31220
85	2918	31018
86	2933	30786
87	2954	30618
88	2976	30471
89	2994	30279
90	3018	30156
91	3042	30025
92	3061	29861
93	3082	29713
94	3103	29565
95	3125	29433
96	3144	29272
97	3164	29126
98	3192	29058
99	3211	28899
100	3232	28769
101	3254	28653
102	3268	28467
103	3282	28283
104	3296	28098
105	3307	27896
106	3321	27721
107	3335	27550
108	3346	27354
109	3361	27201
110	3379	27064
111	3389	26876
112	3402	26709
113	3414	26534
114	3428	26383
115	3441	26227
116	3453	26060
117	3464	25898
118	3477	25747
119	3488	25580
120	3502	25443
121	3516	25308
122	3527	25151
123	3539	25008
124	3548	24842
125	3561	24705
126	3572	24560
127	3583	24412
128	3592	24255
129	3602	24107
130	3613	23971
131	3624	23836
132	3637	23715
133	3648	23579
134	3660	23451
135	3671	23324
136	3680	23184
137	3690	23054
138	3700	22920
139	3711	22799
140	3724	22687
141	3737	22585
142	3748	22461
143	3759	22347
144	3769	22229
145	3780	22111
146	3788	21984
147	3799	21875
148	3815	21790
149	3827	21690
150	3842	21602
151	3854	21506
152	3866	21405
153	3878	21308
154	3889	21206
155	3900	21102
156	3913	21013
157	3924	20914
158	3938	20832
159	3949	20736
160	3960	20640
161	3974	20558
162	3984	20461
163	3995	20366
164	4009	20288
165	4022	20209
166	4035	20128
167	4048	20049
168	4058	19957
169	4069	19868
170	4079	19776
171	4090	19693
172	4100	19602
173	4111	19519
174	4123	19437
175	4134	19357
176	4147	19285
177	4160	19215
178	4173	19141
179	4183	19059
180	4194	18978
181	4207	18909
182	4219	18840
183	4231	18767
184	4242	18692
185	4252	18612
186	4267	18553
187	4276	18470
188	4286	18395
189	4296	18315
190	4307	18243
191	4316	18164
192	4328	18098
193	4339	18028
194	4351	17964
195	4363	17900
196	4373	17826
197	4383	17756
198	4393	17683
199	4405	17620
200	4417	17559
201	4427	17492
202	4437	17421
203	4450	17364
204	4461	17302
205	4471	17234
206	4482	17171
207	4492	17105
208	4504	17049
209	4516	16988
210	4527	16931
211	4534	16854
212	4547	16800
213	4559	16745
214	4569	16685
215	4579	16620
216	4587	16551
217	4599	16498
218	4611	16445
219	4623	16391
220	4632	16328
221	4643	16274
222	4657	16229
223	4669	16176
224	4680	16120
225	4689	16060
226	4699	16003
227	4709	15945
228	4721	15896
229	4730	15835
230	4739	15777
231	4750	15725
232	4762	15678
233	4771	15621
234	4783	15570
235	4793	15516
236	4811	15491
237	4823	15442
238	4833	15389
239	4844	15339
240	4855	15290
241	4868	15248
242	4878	15196
243	4886	15140
244	4896	15090
245	4906	15039
246	4918	14995
247	4926	14939
248	4938	14893
249	4949	14848
250	4959	14800
251	4972	14759
252	4982	14712
253	4992	14664
254	5004	14621
255	5016	14578
256	5025	14529
257	5037	14486
258	5047	14441
259	5057	14395
260	5069	14353
261	5082	14314
262	5092	14269
263	5103	14226
264	5115	14188
265	5124	14141
266	5135	14097
267	5145	14055
268	5158	14016
269	5169	13977
270	5180	13936
271	5194	13902
272	5206	13863
273	5216	13822
274	5226	13778
275	5237	13739
276	5248	13698
277	5258	13657
278	5268	13615
279	5279	13576
280	5289	13535
281	5300	13494
282	5309	13452
283	5319	13411
284	5327	13365
285	5342	13336
286	5354	13302
287	5364	13261
288	5374	13223
289	5385	13185
290	5396	13149
291	5408	13113
292	5416	13070
293	5427	13032
294	5438	12996
295	5449	12961
296	5458	12920
297	5468	12882
298	5480	12848
299	5493	12818
300	5504	12782
301	5515	12746
302	5524	12707
303	5535	12673
304	5546	12637
305	5556	12602
30306	5733	129430307	5744	129030308	5756	128730309	5768	128331310	5779	128031311	5788	127631312	5799	127231313	5809	126931314	5820	126531315	5829	126131316	5840	125831317	5849	125431318	5862	125131319	5874	124832320	5883	124432321	5893	124032322	5904	123732323	5916	123432324	5925	123032325	5935	122732326	5948	122432327	5962	122132328	5976	121832329	5984	121433330	5995	121133331	6005	120833332	6015	120433333	6025	120133334	6036	119833335	6050	119533336	6063	119233337	6075	118933338	6088	11871
339	6099	11841
340	6110	11808
341	6119	11774
342	6130	11742
343	6141	11710
344	6153	11682
345	6166	11655
346	6175	11621
347	6187	11591
348	6196	11558
349	6209	11531
350	6218	11497
351	6228	11466
352	6238	11434
353	6247	11401
354	6257	11368
355	6270	11342
356	6279	11310
357	6291	11282
358	6302	11252
359	6312	11221
360	6321	11188
361	6329	11155
362	6339	11124
363	6351	11098
364	6364	11072
365	6379	11051
366	6392	11025
367	6406	11002
368	6421	10980
369	6430	10949
370	6446	10928
371	6460	10906
372	6472	108837373	6488	108537374	6499	108337375	6509	108037376	6521	107737377	6534	107537378	6547	107237379	6560	107038380	6574	106838381	6588	106538382	6600	106338383	6609	106038384	6620	105738385	6631	105438386	6644	1052387	6503	10258
388	6521	10243
389	6537	10225
390	6549	10201
391	6561	10177
392	6573	10153
393	6585	10129
39394	6753	103439395	6762	103139396	6775	1029397	6633	10032
398	6644	10007
399	6655	9983
400	6667	9959
401	6680	9937
402	6693	9915
403	6704	9890
404	6719	9871
405	6733	9852
406	6744	9826
407	6755	9802
408	6771	9784
409	6784	9763
410	6794	9737
411	6804	9711
412	6818	9691
413	6832	9670
414	6840	9642
415	6853	9620
416	6863	9595
417	6876	9574
418	6891	9555
419	6902	9531
420	6914	9509
421	6928	9489
422	6941	9468
423	6952	9445
424	6968	9427
425	6980	9405
426	6993	9384
427	7005	9361
428	7018	9341
429	7033	9323
430	7046	9302
431	7057	9279
432	7070	9258
433	7081	9235
434	7094	9214
435	7102	9187
436	7115	9167
437	7129	9148
438	7141	9125
439	7151	9102
440	7164	9081
441	7178	9062
442	7192	9043
443	7202	9018
444	7211	8994
445	7225	8975
446	7246	8965
447	7257	8942
448	7268	8919
449	7280	8898
450	7293	8878
451	7304	8855
452	7317	8835
453	7331	8817
454	7341	8793
455	7356	8776
456	7373	8760
457	7386	8740
458	7397	8718
459	7409	8698
460	7419	8675
461	7429	8651
462	7442	8631
463	7452	8608
464	7464	8588
465	7475	8566
466	7486	8544
467	7496	8521
468	7512	8505
469	7524	8485
470	7536	8464
471	7548	8444
472	7561	8424
473	7574	8405
474	7584	8383
475	7595	8361
476	7607	8340
477	7620	8321
478	7631	8300
479	7643	8280
480	7655	8259
481	7667	8239
482	7679	8220
483	7690	8198
484	7703	8180
485	7716	8160
486	7725	8138
487	7736	8117
488	7750	8099
489	7766	8083
490	7783	8068
491	7795	8049
492	7806	8028
493	7820	8010
494	7829	7987
495	7840	7966
496	7849	7944
497	7863	7926
498	7877	7908
499	7887	7887
500	7900	7869
501	7913	7850
502	7926	7831
503	7938	7812
504	7949	7792
505	7963	7774
506	7977	7757
507	7988	7736
508	8001	7718
509	8014	7700
510	8026	7680
511	8037	7661
512	8050	7642
513	8066	7627
514	8076	7605
515	8087	7586
516	8101	7568
517	8115	7551
518	8125	7530
519	8137	7511
520	8147	7491
521	8159	7472
522	8172	7453
523	8182	7432
524	8194	7414
